System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:40:52:490, 702717225326399,    0.102,   11.000, 4400,  18.236,   1.863,   0.518,  16.063,   1.641,   0.456, 47,  0,   1.174,   0.120,   0.033, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:52:600, 702717632592366,    0.212,   12.000, 2800,  15.515,   3.573,   0.992,  13.236,   3.100,   0.861, 46,  0,   1.194,   0.252,   0.070, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:52:707, 702718027840697,    0.319,    8.000, 4300,  10.871,   4.735,   1.315,   8.721,   4.032,   1.120, 49,  0,   1.166,   0.376,   0.105, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:52:821, 702718447826695,    0.433,   38.000, 4300,  32.529,   8.432,   2.342,  30.548,   7.504,   2.084, 52,  0,   1.638,   0.562,   0.156, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:52:931, 702718854750355,    0.543,   30.000, 4300,  28.314,  11.549,   3.208,  26.147,  10.382,   2.884, 49,  0,   1.348,   0.711,   0.197, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:043, 702719268278435,    0.655,   36.000, 4300,  32.914,  15.232,   4.231,  30.665,  13.813,   3.837, 56,  0,   1.484,   0.877,   0.244, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:153, 702719674773644,    0.765,   38.000, 4300,  34.725,  19.051,   5.292,  32.483,  17.386,   4.829, 50,  0,   1.509,   1.043,   0.290, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:271, 702720111646970,    0.883,   41.000, 4400,  27.921,  22.351,   6.209,  25.887,  20.446,   5.679, 54,  0,   1.287,   1.195,   0.332, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:364, 702720455362320,    0.976,   25.000, 4400,  29.929,  25.134,   6.982,  27.622,  23.014,   6.393, 52,  0,   1.333,   1.319,   0.366, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:483, 702720894625203,    1.095,   28.000, 4300,  29.624,  28.655,   7.960,  27.384,  26.269,   7.297, 51,  0,   1.310,   1.474,   0.410, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:579, 702721249115097,    1.191,   24.000, 4300,  27.412,  31.284,   8.690,  25.200,  28.686,   7.968, 50,  0,   1.291,   1.598,   0.444, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:691, 702721664734589,    1.303,   24.000, 4400,  28.191,  34.454,   9.571,  25.885,  31.597,   8.777, 52,  0,   1.283,   1.743,   0.484, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:801, 702722071332577,    1.413,   30.000, 4400,  29.377,  37.686,  10.468,  27.223,  34.592,   9.609, 54,  0,   1.292,   1.885,   0.524, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:53:911, 702722477142952,    1.523,   24.000, 4400,  28.629,  40.829,  11.342,  26.656,  37.518,  10.422, 51,  0,   1.289,   2.026,   0.563, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:019, 702722876085968,    1.631,   24.000, 4300,  29.148,  43.976,  12.215,  26.951,  40.427,  11.230, 51,  0,   1.288,   2.165,   0.601, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:126, 702723271751623,    1.738,   26.000, 4400,  29.818,  47.168,  13.102,  27.655,  43.388,  12.052, 53,  0,   1.337,   2.308,   0.641, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:238, 702723684114444,    1.850,   23.000, 4300,  28.759,  50.376,  13.993,  26.459,  46.340,  12.872, 51,  0,   1.277,   2.451,   0.681, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:346, 702724085915608,    1.958,   28.000, 4300,  29.311,  53.563,  14.879,  27.057,  49.281,  13.689, 53,  0,   1.273,   2.589,   0.719, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:456, 702724492335173,    2.068,   23.000, 4300,  28.555,  56.703,  15.751,  26.357,  52.180,  14.494, 53,  0,   1.269,   2.729,   0.758, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:567, 702724902482509,    2.179,   23.000, 4300,  28.309,  59.844,  16.623,  26.135,  55.080,  15.300, 53,  0,   1.239,   2.866,   0.796, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:675, 702725301854203,    2.287,   22.000, 4300,  28.338,  62.906,  17.474,  26.192,  57.910,  16.086, 53,  0,   1.246,   3.001,   0.834, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:784, 702725704519033,    2.396,   23.000, 4300,  28.315,  65.991,  18.331,  26.119,  60.756,  16.877, 52,  0,   1.245,   3.137,   0.871, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:54:895, 702726112579355,    2.507,   26.000, 4400,  29.054,  69.199,  19.222,  26.978,  63.734,  17.704, 53,  0,   1.276,   3.278,   0.910, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:003, 702726511035085,    2.615,   23.000, 4300,  28.632,  72.286,  20.079,  26.400,  66.580,  18.495, 51,  0,   1.273,   3.415,   0.949, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:113, 702726920222991,    2.725,   23.000, 4300,  29.191,  75.517,  20.977,  26.949,  69.564,  19.323, 51,  0,   1.266,   3.555,   0.987, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:221, 702727318851641,    2.833,   22.000, 4300,  27.934,  78.530,  21.814,  25.985,  72.366,  20.102, 52,  0,   1.242,   3.689,   1.025, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:332, 702727727379330,    2.944,   24.000, 4300,  29.352,  81.775,  22.715,  27.043,  75.356,  20.932, 51,  0,   1.319,   3.835,   1.065, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:441, 702728131055799,    3.053,   25.000, 4300,  29.367,  84.982,  23.606,  27.246,  78.331,  21.759, 53,  0,   1.280,   3.974,   1.104, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:551, 702728536571214,    3.163,   23.000, 4300,  29.023,  88.166,  24.491,  26.781,  81.270,  22.575, 52,  0,   1.274,   4.114,   1.143, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:659, 702728938805078,    3.271,   22.000, 4300,  28.120,  91.227,  25.341,  25.926,  84.091,  23.359, 55,  0,   1.244,   4.250,   1.180, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:768, 702729340404749,    3.380,   22.000, 4400,  28.162,  94.287,  26.191,  26.122,  86.929,  24.147, 54,  0,   1.254,   4.386,   1.218, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:55:876, 702729738689028,    3.488,   23.000, 4300,  28.313,  97.338,  27.038,  26.149,  89.747,  24.930, 53,  0,   1.254,   4.521,   1.256, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:56:001, 702730200922102,    3.613,   24.000, 4300,  29.001, 100.965,  28.046,  26.784,  93.097,  25.860, 52,  0,   1.287,   4.682,   1.301, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:56:110, 702730605409674,    3.722,   22.000, 4300,  28.359, 104.068,  28.908,  26.043,  95.947,  26.652, 53,  0,   1.262,   4.820,   1.339, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:56:220, 702731008996396,    3.832,   22.000, 4300,  28.351, 107.164,  29.768,  26.220,  98.810,  27.447, 55,  0,   1.260,   4.958,   1.377, 255.000, 255.000,   0.000,   0.000,   0.000
14:40:56:329, 702731413683015,    3.941,   22.000, 4300,  28.128, 110.244,  30.623,  26.076, 101.665,  28.240, 52,  0,   1.268,   5.096,   1.416, 255.000, 255.000,   0.000,   0.000,   0.000
