System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:42:14:611, 703020744969511,    0.108,   16.000, 4300,  19.220,   2.084,   0.579,  16.942,   1.837,   0.510, 47,  0,   1.233,   0.134,   0.037, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:14:721, 703021150247123,    0.218,   11.000, 3600,  12.315,   3.435,   0.954,  10.178,   2.953,   0.820, 45,  0,   1.197,   0.265,   0.074, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:14:830, 703021553417373,    0.327,   27.000, 4300,  26.302,   6.304,   1.751,  24.265,   5.600,   1.556, 52,  0,   1.540,   0.433,   0.120, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:14:941, 703021964225376,    0.438,   31.000, 4300,  29.187,   9.548,   2.652,  27.018,   8.603,   2.390, 51,  0,   1.362,   0.584,   0.162, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:053, 703022378284864,    0.550,   35.000, 4300,  33.756,  13.330,   3.703,  31.357,  12.116,   3.366, 51,  0,   1.490,   0.751,   0.209, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:165, 703022791911305,    0.662,   33.000, 4300,  34.156,  17.152,   4.764,  32.113,  15.710,   4.364, 49,  0,   1.533,   0.923,   0.256, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:277, 703023206137394,    0.774,   23.000, 4300,  26.406,  20.112,   5.587,  24.058,  18.406,   5.113, 49,  0,   1.241,   1.062,   0.295, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:389, 703023619927737,    0.886,   23.000, 4300,  26.819,  23.114,   6.421,  24.847,  21.188,   5.886, 50,  0,   1.217,   1.198,   0.333, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:486, 703023978467931,    0.983,   24.000, 4400,  26.972,  25.731,   7.147,  24.899,  23.603,   6.556, 51,  0,   1.241,   1.318,   0.366, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:596, 703024383156373,    1.093,   22.000, 4400,  26.853,  28.671,   7.964,  24.511,  26.287,   7.302, 49,  0,   1.234,   1.453,   0.404, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:706, 703024791579494,    1.203,   27.000, 4300,  28.619,  31.833,   8.843,  26.515,  29.217,   8.116, 50,  0,   1.304,   1.598,   0.444, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:814, 703025191680977,    1.312,   28.000, 4300,  29.870,  35.067,   9.741,  27.525,  32.197,   8.944, 50,  0,   1.302,   1.738,   0.483, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:15:927, 703025605850871,    1.424,   29.000, 4300,  28.193,  38.226,  10.618,  26.027,  35.113,   9.754, 50,  0,   1.317,   1.886,   0.524, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:16:037, 703026012691027,    1.534,   23.000, 4300,  25.537,  41.037,  11.399,  23.398,  37.689,  10.469, 50,  0,   1.238,   2.022,   0.562, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:16:156, 703026453689487,    1.653,   39.000, 4400,  28.580,  44.447,  12.346,  26.503,  40.851,  11.347, 54,  0,   1.310,   2.179,   0.605, 255.000, 255.000,   0.000,   0.000,   0.000
