System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:42:06:206, 702989679855039,    3.080,   23.000, 4300,  27.631,  82.343,  22.873,  25.385,  75.636,  21.010, 50,  0,   1.242,   3.952,   1.098, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:06:315, 702990083584270,    3.189,   13.000, 3200,  20.609,  84.595,  23.498,  18.467,  77.653,  21.570, 47,  0,   1.241,   4.088,   1.135, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:06:423, 702990481689979,    3.297,    8.000, 3600,   8.167,  85.474,  23.743,   6.056,  78.305,  21.752, 46,  0,   1.025,   4.198,   1.166, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:06:551, 702990956438649,    3.425,   15.000, 4300,   7.609,  86.452,  24.014,   5.570,  79.021,  21.950, 48,  0,   1.058,   4.334,   1.204, 255.000, 255.000,   0.000,   0.000,   0.000
14:42:06:623, 702991222547039,    3.497,   12.000, 4400,  17.889,  87.740,  24.372,  15.667,  80.149,  22.264, 47,  0,   1.220,   4.422,   1.228, 255.000, 255.000,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.496961
Measured RDTSC Frequency (GHz) = 3.696

Cumulative Processor Energy_0 (Joules) = 87.739624
Cumulative Processor Energy_0 (mWh) = 24.372118
Average Processor Power_0 (Watt) = 25.090250

Cumulative IA Energy_0 (Joules) = 80.148926
Cumulative IA Energy_0 (mWh) = 22.263590
Average IA Power_0 (Watt) = 22.919594

Cumulative DRAM Energy_0 (Joules) = 4.421631
Cumulative DRAM Energy_0 (mWh) = 1.228231
Average DRAM Power_0 (Watt) = 1.264421
