System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:16:04:900, 697219091635288,    0.118,   13.000, 4300,  19.324,   2.286,   0.635,  17.354,   2.053,   0.570, 46,  0,   1.196,   0.141,   0.039, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:007, 697219487942389,    0.226,   23.000, 4300,  24.117,   4.872,   1.353,  21.770,   4.387,   1.219, 45,  0,   1.577,   0.311,   0.086, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:113, 697219879053907,    0.331,   13.000, 4300,  17.463,   6.720,   1.867,  15.396,   6.016,   1.671, 46,  0,   1.281,   0.446,   0.124, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:221, 697220278495059,    0.439,   10.000, 3800,  13.649,   8.195,   2.276,  11.322,   7.240,   2.011, 44,  0,   1.213,   0.577,   0.160, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:331, 697220683074124,    0.549,   16.000, 4300,  17.145,  10.072,   2.798,  14.988,   8.881,   2.467, 49,  0,   1.305,   0.720,   0.200, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:440, 697221087523713,    0.658,   37.000, 4300,  31.460,  13.514,   3.754,  29.421,  12.100,   3.361, 52,  0,   1.615,   0.897,   0.249, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:563, 697221542954188,    0.782,   23.000, 4300,  26.605,  16.793,   4.665,  24.408,  15.108,   4.197, 49,  0,   1.417,   1.071,   0.298, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:673, 697221950335035,    0.892,   22.000, 4400,  25.339,  19.586,   5.440,  23.045,  17.648,   4.902, 50,  0,   1.377,   1.223,   0.340, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:784, 697222356961983,    1.002,   23.000, 4300,  25.725,  22.416,   6.227,  23.590,  20.243,   5.623, 50,  0,   1.384,   1.375,   0.382, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:05:892, 697222760037400,    1.111,   22.000, 4400,  25.554,  25.203,   7.001,  23.438,  22.799,   6.333, 52,  0,   1.375,   1.525,   0.424, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:007, 697223180735057,    1.225,   26.000, 4300,  26.546,  28.224,   7.840,  24.322,  25.568,   7.102, 52,  0,   1.437,   1.689,   0.469, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:116, 697223584485951,    1.334,   23.000, 4400,  26.138,  31.080,   8.633,  24.041,  28.194,   7.832, 52,  0,   1.413,   1.843,   0.512, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:225, 697223988374856,    1.443,   22.000, 4300,  25.962,  33.917,   9.421,  23.889,  30.804,   8.557, 53,  0,   1.352,   1.991,   0.553, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:334, 697224390179400,    1.552,   22.000, 4300,  24.955,  36.630,  10.175,  22.740,  33.277,   9.243, 51,  0,   1.361,   2.139,   0.594, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:445, 697224801374608,    1.663,   22.000, 4300,  25.516,  39.468,  10.963,  23.426,  35.883,   9.967, 52,  0,   1.341,   2.288,   0.636, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:553, 697225202018736,    1.772,   35.000, 4400,  29.208,  42.634,  11.843,  27.285,  38.841,  10.789, 52,  0,   1.446,   2.445,   0.679, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:665, 697225615628126,    1.883,   35.000, 4300,  32.910,  46.317,  12.866,  30.584,  42.263,  11.740, 53,  0,   1.567,   2.620,   0.728, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:777, 697226027317583,    1.995,   27.000, 4300,  28.485,  49.490,  13.747,  26.198,  45.181,  12.550, 51,  0,   1.494,   2.787,   0.774, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:887, 697226436601929,    2.106,   30.000, 4400,  30.229,  52.838,  14.677,  28.253,  48.310,  13.419, 51,  0,   1.521,   2.955,   0.821, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:06:999, 697226848202197,    2.217,   36.000, 4300,  31.701,  56.368,  15.658,  29.327,  51.576,  14.327, 49,  0,   1.660,   3.140,   0.872, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:108, 697227251369550,    2.326,   40.000, 4300,  33.471,  60.019,  16.672,  31.292,  54.989,  15.275, 53,  0,   1.810,   3.337,   0.927, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:214, 697227645219806,    2.433,   29.000, 4300,  28.616,  63.069,  17.519,  26.605,  57.824,  16.062, 51,  0,   1.457,   3.493,   0.970, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:316, 697228022831244,    2.535,   28.000, 4400,  27.437,  65.872,  18.298,  25.007,  60.379,  16.772, 51,  0,   1.494,   3.645,   1.013, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:434, 697228457236153,    2.652,   26.000, 4300,  27.512,  69.105,  19.196,  25.519,  63.379,  17.605, 50,  0,   1.439,   3.814,   1.060, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:546, 697228871080619,    2.764,   24.000, 4300,  26.928,  72.120,  20.033,  24.776,  66.153,  18.376, 53,  0,   1.404,   3.971,   1.103, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:656, 697229275535207,    2.874,   27.000, 4300,  28.317,  75.219,  20.894,  26.006,  68.999,  19.166, 52,  0,   1.419,   4.127,   1.146, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:752, 697229631957951,    2.970,   23.000, 4400,  26.487,  77.773,  21.604,  24.496,  71.361,  19.822, 52,  0,   1.378,   4.260,   1.183, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:873, 697230080951461,    3.092,   22.000, 4300,  25.897,  80.919,  22.478,  23.615,  74.230,  20.619, 51,  0,   1.355,   4.424,   1.229, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:07:979, 697230472355898,    3.197,   24.000, 4400,  26.339,  83.709,  23.252,  24.362,  76.810,  21.336, 53,  0,   1.357,   4.568,   1.269, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:08:088, 697230877848737,    3.307,   37.000, 4400,  26.390,  86.604,  24.057,  24.229,  79.468,  22.074, 52,  0,   1.370,   4.718,   1.311, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:08:201, 697231292694384,    3.419,   24.000, 4300,  26.676,  89.598,  24.888,  24.544,  82.223,  22.840, 53,  0,   1.363,   4.871,   1.353, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:08:313, 697231704401683,    3.531,   22.000, 4400,  25.666,  92.457,  25.683,  23.417,  84.831,  23.564, 52,  0,   1.354,   5.022,   1.395, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:08:407, 697232052827102,    3.625,   22.000, 4300,  25.216,  94.834,  26.343,  23.130,  87.012,  24.170, 52,  0,   1.348,   5.149,   1.430, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:08:517, 697232458149158,    3.735,   23.000, 4300,  26.390,  97.728,  27.147,  24.178,  89.663,  24.906, 53,  0,   1.329,   5.295,   1.471, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:08:627, 697232868866248,    3.846,   38.000, 4400,  27.218, 100.753,  27.987,  25.112,  92.454,  25.682, 52,  0,   1.403,   5.451,   1.514, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:08:736, 697233268748728,    3.954,   23.000, 4300,  25.992, 103.565,  28.768,  23.852,  95.034,  26.398, 53,  0,   1.360,   5.598,   1.555, 255.000, 255.000,   0.000,   0.000,   0.000
14:16:08:846, 697233676224776,    4.064,   22.000, 4300,  25.915, 106.422,  29.562,  23.833,  97.662,  27.128, 52,  0,   1.320,   5.743,   1.595, 255.000, 255.000,   0.000,   0.000,   0.000
