System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:15:43:949, 697141657859721,    0.120,   35.000, 4300,  31.559,   3.780,   1.050,  29.348,   3.515,   0.976, 52,  0,   1.540,   0.184,   0.051, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:049, 697142028004342,    0.220,   43.000, 4300,  34.262,   7.211,   2.003,  32.010,   6.721,   1.867, 50,  0,   2.004,   0.385,   0.107, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:167, 697142463316803,    0.338,   30.000, 4300,  27.853,  10.492,   2.914,  25.816,   9.761,   2.712, 50,  0,   1.486,   0.560,   0.156, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:267, 697142834578805,    0.438,   32.000, 4300,  28.847,  13.389,   3.719,  26.659,  12.439,   3.455, 47,  0,   1.501,   0.711,   0.197, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:385, 697143268095510,    0.555,   21.000, 4300,  24.643,  16.280,   4.522,  22.489,  15.077,   4.188, 50,  0,   1.320,   0.866,   0.241, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:487, 697143648049624,    0.658,   22.000, 4400,  25.481,  18.899,   5.250,  23.322,  17.475,   4.854, 48,  0,   1.260,   0.995,   0.276, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:601, 697144066567071,    0.771,   46.000, 4300,  38.297,  23.236,   6.454,  36.149,  21.568,   5.991, 52,  0,   1.775,   1.196,   0.332, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:719, 697144503654425,    0.890,   53.000, 4300,  35.183,  27.396,   7.610,  33.133,  25.486,   7.080, 51,  0,   1.625,   1.389,   0.386, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:819, 697144870124400,    0.989,   45.000, 4300,  37.633,  31.128,   8.647,  35.061,  28.963,   8.045, 51,  0,   1.643,   1.551,   0.431, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:44:927, 697145269386344,    1.097,   36.000, 4300,  31.519,  34.533,   9.592,  29.361,  32.134,   8.926, 53,  0,   1.513,   1.715,   0.476, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:036, 697145672475316,    1.206,   41.000, 4300,  35.628,  38.418,  10.672,  33.459,  35.784,   9.940, 52,  0,   1.676,   1.898,   0.527, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:145, 697146075262188,    1.315,   44.000, 4300,  36.553,  42.402,  11.778,  34.336,  39.525,  10.979, 53,  0,   1.794,   2.093,   0.581, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:253, 697146474568815,    1.423,   76.000, 4300,  38.659,  46.578,  12.938,  36.458,  43.464,  12.073, 52,  0,   2.003,   2.310,   0.642, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:361, 697146876701057,    1.532,   93.000, 4300,  52.501,  52.291,  14.525,  49.873,  48.891,  13.581, 51,  0,   2.991,   2.635,   0.732, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:472, 697147283849840,    1.642,   59.000, 4300,  41.678,  56.882,  15.801,  39.414,  53.232,  14.787, 53,  0,   2.140,   2.871,   0.797, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:582, 697147690466209,    1.752,   43.000, 4300,  35.139,  60.748,  16.874,  32.953,  56.858,  15.794, 53,  0,   1.670,   3.054,   0.848, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:689, 697148088455825,    1.860,   45.000, 4300,  35.225,  64.541,  17.928,  33.312,  60.445,  16.790, 51,  0,   1.700,   3.238,   0.899, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:798, 697148493114903,    1.969,   49.000, 4300,  40.134,  68.935,  19.149,  37.684,  64.571,  17.936, 51,  0,   1.871,   3.442,   0.956, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:45:920, 697148942191393,    2.091,   36.000, 4300,  31.361,  72.745,  20.207,  29.393,  68.142,  18.928, 53,  0,   1.455,   3.619,   1.005, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:46:027, 697149337899162,    2.198,   40.000, 4400,  35.346,  76.530,  21.258,  33.171,  71.693,  19.915, 54,  0,   1.481,   3.778,   1.049, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:46:134, 697149733544460,    2.305,   39.000, 4300,  34.877,  80.263,  22.295,  32.716,  75.195,  20.888, 53,  0,   1.546,   3.943,   1.095, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:46:243, 697150136274830,    2.414,   39.000, 4300,  35.930,  84.178,  23.383,  33.770,  78.875,  21.910, 55,  0,   1.493,   4.106,   1.141, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:46:352, 697150539163242,    2.523,   42.000, 4300,  35.813,  88.082,  24.467,  33.677,  82.546,  22.930, 53,  0,   1.527,   4.272,   1.187, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:46:454, 697150917575814,    2.625,   35.000, 4400,  33.121,  91.473,  25.409,  30.724,  85.692,  23.803, 52,  0,   1.517,   4.428,   1.230, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:46:569, 697151341122428,    2.740,   38.000, 4300,  34.857,  95.468,  26.519,  32.876,  89.459,  24.850, 54,  0,   1.481,   4.597,   1.277, 255.000, 255.000,   0.000,   0.000,   0.000
14:15:46:677, 697151740330532,    2.848,   39.000, 4300,  33.666,  99.104,  27.529,  31.493,  92.861,  25.795, 53,  0,   1.446,   4.754,   1.320, 255.000, 255.000,   0.000,   0.000,   0.000
