System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:14:10:387, 696795851611107,    0.117,    8.000, 4100,  11.895,   1.391,   0.386,   9.645,   1.128,   0.313, 40,  0,   1.111,   0.130,   0.036, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:10:498, 696796261242022,    0.228,   25.000, 4300,  25.543,   4.222,   1.173,  23.423,   3.724,   1.034, 44,  0,   1.627,   0.310,   0.086, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:10:595, 696796620307025,    0.325,   31.000, 4300,  27.129,   6.857,   1.905,  24.998,   6.152,   1.709, 46,  0,   1.790,   0.484,   0.134, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:10:717, 696797071315662,    0.447,   11.000, 4300,  20.215,   9.324,   2.590,  17.995,   8.348,   2.319, 42,  0,   1.297,   0.642,   0.178, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:10:824, 696797467617628,    0.554,    7.000, 4300,  12.346,  10.648,   2.958,  10.126,   9.434,   2.620, 41,  0,   1.197,   0.771,   0.214, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:10:934, 696797872605445,    0.664,   38.000, 4300,  23.923,  13.269,   3.686,  21.906,  11.834,   3.287, 47,  0,   1.547,   0.940,   0.261, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:033, 696798240565862,    0.763,   95.000, 4300,  53.224,  18.568,   5.158,  50.442,  16.856,   4.682, 50,  0,   2.864,   1.225,   0.340, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:143, 696798645645802,    0.873,   61.000, 4300,  41.301,  23.094,   6.415,  39.138,  21.145,   5.874, 47,  0,   2.400,   1.488,   0.413, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:262, 696799083372801,    0.991,   30.000, 4400,  36.134,  27.374,   7.604,  33.699,  25.136,   6.982, 52,  0,   1.923,   1.716,   0.477, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:362, 696799454414832,    1.092,   25.000, 4400,  27.068,  30.091,   8.359,  25.009,  27.647,   7.680, 48,  0,   1.459,   1.862,   0.517, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:476, 696799874973867,    1.205,   75.000, 4300,  47.511,  35.497,   9.860,  45.254,  32.796,   9.110, 50,  0,   2.098,   2.101,   0.584, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:591, 696800301823836,    1.321,   79.000, 4300,  48.405,  41.088,  11.413,  46.199,  38.132,  10.592, 51,  0,   2.437,   2.383,   0.662, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:689, 696800664650711,    1.419,   58.000, 4300,  40.515,  45.065,  12.518,  38.227,  41.885,  11.635, 51,  0,   2.245,   2.603,   0.723, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:798, 696801067465485,    1.528,   40.000, 4300,  33.332,  48.698,  13.527,  31.093,  45.273,  12.576, 48,  0,   1.905,   2.811,   0.781, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:11:921, 696801522464019,    1.651,   43.000, 4300,  34.635,  52.961,  14.711,  32.086,  49.223,  13.673, 48,  0,   2.080,   3.067,   0.852, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:016, 696801873373944,    1.746,   57.000, 4300,  38.975,  56.662,  15.739,  37.147,  52.750,  14.653, 49,  0,   2.204,   3.276,   0.910, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:126, 696802278407970,    1.856,   96.000, 4300,  53.882,  62.567,  17.380,  51.108,  58.351,  16.209, 51,  0,   3.139,   3.620,   1.006, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:237, 696802689951863,    1.967,   68.000, 4300,  44.775,  67.552,  18.764,  42.400,  63.072,  17.520, 50,  0,   2.533,   3.902,   1.084, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:350, 696803106402311,    2.080,   31.000, 4300,  33.485,  71.325,  19.813,  31.159,  66.583,  18.495, 50,  0,   1.807,   4.106,   1.140, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:461, 696803515685206,    2.191,   26.000, 4400,  28.330,  74.462,  20.684,  26.072,  69.470,  19.297, 52,  0,   1.514,   4.273,   1.187, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:569, 696803914981584,    2.299,   23.000, 4300,  26.743,  77.352,  21.487,  24.594,  72.127,  20.035, 52,  0,   1.399,   4.424,   1.229, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:678, 696804318146373,    2.408,   23.000, 4300,  26.360,  80.227,  22.285,  24.231,  74.770,  20.770, 52,  0,   1.334,   4.570,   1.269, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:784, 696804710978782,    2.514,   24.000, 4400,  27.482,  83.148,  23.097,  25.404,  77.470,  21.520, 51,  0,   1.405,   4.719,   1.311, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:12:909, 696805171871717,    2.639,   24.000, 4300,  27.122,  86.530,  24.036,  24.895,  80.575,  22.382, 51,  0,   1.413,   4.895,   1.360, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:020, 696805582037033,    2.750,   25.000, 4300,  27.267,  89.556,  24.877,  25.099,  83.360,  23.156, 51,  0,   1.429,   5.054,   1.404, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:129, 696805984527870,    2.858,   23.000, 4300,  25.928,  92.379,  25.661,  23.761,  85.948,  23.874, 49,  0,   1.370,   5.203,   1.445, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:240, 696806395669514,    2.970,   23.000, 4300,  25.994,  95.271,  26.464,  23.931,  88.610,  24.614, 50,  0,   1.357,   5.354,   1.487, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:348, 696806793879666,    3.077,   32.000, 4300,  28.048,  98.293,  27.304,  25.794,  91.389,  25.386, 49,  0,   1.469,   5.512,   1.531, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:455, 696807188928642,    3.184,   23.000, 4300,  25.925, 101.064,  28.073,  23.752,  93.928,  26.091, 51,  0,   1.369,   5.659,   1.572, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:566, 696807603431157,    3.297,   22.000, 4400,  25.643, 103.940,  28.872,  23.546,  96.568,  26.825, 49,  0,   1.356,   5.811,   1.614, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:675, 696808004620035,    3.405,   22.000, 4300,  25.560, 106.714,  29.643,  23.538,  99.123,  27.534, 50,  0,   1.342,   5.957,   1.655, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:783, 696808402231840,    3.513,   23.000, 4300,  26.444, 109.559,  30.433,  24.181, 101.725,  28.257, 50,  0,   1.379,   6.105,   1.696, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:13:893, 696808809806167,    3.623,   28.000, 4400,  26.800, 112.514,  31.254,  24.717, 104.450,  29.014, 50,  0,   1.379,   6.257,   1.738, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:001, 696809209420376,    3.731,   22.000, 4400,  25.750, 115.298,  32.027,  23.660, 107.008,  29.725, 49,  0,   1.325,   6.400,   1.778, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:112, 696809618059588,    3.842,   25.000, 4400,  27.328, 118.320,  32.867,  25.048, 109.778,  30.494, 50,  0,   1.404,   6.555,   1.821, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:221, 696810023288556,    3.951,   22.000, 4400,  25.040, 121.065,  33.629,  22.997, 112.299,  31.194, 51,  0,   1.331,   6.701,   1.861, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:330, 696810423025693,    4.059,   22.000, 4300,  25.382, 123.810,  34.392,  23.075, 114.795,  31.887, 50,  0,   1.370,   6.849,   1.903, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:440, 696810830001561,    4.169,   28.000, 4300,  25.980, 126.671,  35.186,  23.905, 117.427,  32.619, 46,  0,   1.381,   7.002,   1.945, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:548, 696811229811994,    4.278,   23.000, 4300,  26.710, 129.560,  35.989,  24.585, 120.086,  33.357, 51,  0,   1.308,   7.143,   1.984, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:672, 696811687802311,    4.402,   21.000, 4300,  25.279, 132.693,  36.859,  23.097, 122.949,  34.152, 49,  0,   1.321,   7.307,   2.030, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:768, 696812042905666,    4.498,   23.000, 4300,  26.240, 135.214,  37.559,  24.112, 125.265,  34.796, 50,  0,   1.334,   7.435,   2.065, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:877, 696812447402843,    4.607,   23.000, 4400,  26.359, 138.099,  38.361,  24.337, 127.929,  35.536, 49,  0,   1.325,   7.580,   2.106, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:14:989, 696812860349979,    4.719,   25.000, 4300,  26.155, 141.021,  39.172,  23.931, 130.602,  36.278, 50,  0,   1.358,   7.732,   2.148, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:15:101, 696813273309590,    4.831,   22.000, 4300,  25.940, 143.919,  39.978,  23.750, 133.256,  37.016, 52,  0,   1.355,   7.883,   2.190, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:15:204, 696813656269151,    4.934,   22.000, 4400,  25.689, 146.581,  40.717,  23.673, 135.709,  37.697, 48,  0,   1.345,   8.022,   2.228, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:15:322, 696814091095508,    5.052,   21.000, 4300,  24.810, 149.500,  41.528,  22.582, 138.366,  38.435, 49,  0,   1.310,   8.177,   2.271, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:15:431, 696814494829673,    5.161,   23.000, 4300,  25.014, 152.232,  42.287,  22.915, 140.869,  39.130, 50,  0,   1.341,   8.323,   2.312, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:15:539, 696814894120551,    5.269,   24.000, 4300,  26.639, 155.110,  43.086,  24.491, 143.515,  39.865, 51,  0,   1.400,   8.474,   2.354, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:15:647, 696815292651566,    5.377,   21.000, 4300,  24.846, 157.789,  43.830,  22.666, 145.959,  40.544, 50,  0,   1.309,   8.615,   2.393, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:15:756, 696815695918665,    5.486,   21.000, 4400,  24.968, 160.514,  44.587,  22.865, 148.453,  41.237, 51,  0,   1.318,   8.759,   2.433, 255.000, 255.000,   0.000,   0.000,   0.000
14:14:15:863, 696816092949339,    5.593,   22.000, 4400,  25.783, 163.283,  45.356,  23.536, 150.982,  41.939, 49,  0,   1.363,   8.906,   2.474, 255.000, 255.000,   0.000,   0.000,   0.000
