System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
11:10:36:130, 656087151155615,    0.105,    9.000, 4400,  11.899,   1.252,   0.348,   9.731,   1.024,   0.285, 43,  0,   1.153,   0.121,   0.034, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:36:241, 656087562053917,    0.216,   16.000, 4300,  21.266,   3.617,   1.005,  19.003,   3.137,   0.871, 45,  0,   1.277,   0.263,   0.073, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:36:345, 656087945368283,    0.320,   16.000, 4300,  20.220,   5.714,   1.587,  18.197,   5.024,   1.396, 45,  0,   1.305,   0.399,   0.111, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:36:463, 656088380321135,    0.438,    9.000, 3800,  14.346,   7.402,   2.056,  12.092,   6.447,   1.791, 44,  0,   1.170,   0.536,   0.149, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:36:575, 656088794478332,    0.550,   14.000, 4300,   7.052,   8.192,   2.276,   5.055,   7.014,   1.948, 44,  0,   1.102,   0.660,   0.183, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:36:681, 656089187368757,    0.656,   18.000, 4400,  10.543,   9.313,   2.587,   8.376,   7.904,   2.196, 42,  0,   1.160,   0.783,   0.218, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:36:788, 656089582701292,    0.763,   17.000, 4400,  13.381,  10.744,   2.985,  11.389,   9.122,   2.534, 49,  0,   1.254,   0.917,   0.255, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:36:897, 656089984627081,    0.872,   50.000, 4400,  39.820,  15.075,   4.187,  37.413,  13.191,   3.664, 50,  0,   1.924,   1.127,   0.313, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:011, 656090405503527,    0.986,   42.000, 4300,  33.975,  18.943,   5.262,  31.689,  16.799,   4.666, 52,  0,   1.786,   1.330,   0.369, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:121, 656090812213158,    1.096,   42.000, 4300,  33.609,  22.642,   6.289,  31.383,  20.253,   5.626, 53,  0,   1.795,   1.528,   0.424, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:231, 656091218932992,    1.206,   42.000, 4300,  36.239,  26.630,   7.397,  34.033,  23.998,   6.666, 54,  0,   1.798,   1.725,   0.479, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:343, 656091632668252,    1.318,   41.000, 4300,  36.250,  30.688,   8.524,  33.954,  27.799,   7.722, 54,  0,   1.790,   1.926,   0.535, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:454, 656092045423154,    1.429,   44.000, 4300,  36.965,  34.816,   9.671,  34.586,  31.661,   8.795, 55,  0,   1.821,   2.129,   0.591, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:566, 656092459199351,    1.541,   41.000, 4400,  36.687,  38.923,  10.812,  34.419,  35.514,   9.865, 54,  0,   1.795,   2.330,   0.647, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:678, 656092873258572,    1.653,   41.000, 4300,  36.596,  43.023,  11.951,  34.374,  39.365,  10.935, 54,  0,   1.780,   2.530,   0.703, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:788, 656093281333335,    1.764,   42.000, 4300,  34.877,  46.873,  13.020,  32.782,  42.985,  11.940, 52,  0,   1.771,   2.725,   0.757, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:37:911, 656093734460277,    1.886,   60.000, 4300,  34.973,  51.161,  14.211,  32.545,  46.975,  13.049, 52,  0,   1.858,   2.953,   0.820, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:38:011, 656094104483685,    1.987,   44.000, 4400,  37.088,  54.874,  15.243,  34.884,  50.467,  14.019, 55,  0,   1.861,   3.139,   0.872, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:38:112, 656094477852744,    2.088,   41.000, 4300,  36.274,  58.539,  16.261,  34.054,  53.907,  14.974, 52,  0,   1.758,   3.317,   0.921, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:38:230, 656094913413791,    2.205,   42.000, 4300,  36.748,  62.869,  17.464,  34.426,  57.964,  16.101, 54,  0,   1.787,   3.527,   0.980, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:38:340, 656095319351819,    2.315,   43.000, 4300,  34.020,  66.606,  18.502,  32.035,  61.483,  17.079, 53,  0,   1.772,   3.722,   1.034, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:38:452, 656095733458018,    2.427,   53.000, 4300,  35.864,  70.624,  19.618,  33.730,  65.262,  18.128, 53,  0,   1.799,   3.924,   1.090, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:38:548, 656096086611374,    2.523,   41.000, 4300,  35.373,  74.004,  20.557,  32.854,  68.401,  19.000, 54,  0,   1.791,   4.095,   1.137, 255.000, 255.000,   0.000,   0.000,   0.000
11:10:38:660, 656096500874559,    2.635,   42.000, 4300,  35.162,  77.945,  21.651,  32.972,  72.097,  20.027, 53,  0,   1.760,   4.292,   1.192, 255.000, 255.000,   0.000,   0.000,   0.000
