System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
11:12:01:118, 656401266082295,    0.105,   23.000, 1600,   8.537,   0.896,   0.249,   6.316,   0.663,   0.184, 41,  0,   1.123,   0.118,   0.033, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:01:221, 656401647269307,    0.208,   13.000, 4400,  15.007,   2.444,   0.679,  12.954,   1.999,   0.555, 43,  0,   1.108,   0.232,   0.064, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:01:329, 656402048697319,    0.317,   28.000, 4400,  20.491,   4.670,   1.297,  18.366,   3.994,   1.109, 44,  0,   1.246,   0.368,   0.102, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:01:450, 656402493423629,    0.437,   11.000, 4300,  17.060,   6.722,   1.867,  14.855,   5.781,   1.606, 42,  0,   1.207,   0.513,   0.142, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:01:559, 656402896424072,    0.546,    8.000, 3800,  13.986,   8.247,   2.291,  11.925,   7.082,   1.967, 43,  0,   1.160,   0.639,   0.178, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:01:666, 656403291842812,    0.653,   10.000, 4300,  11.872,   9.517,   2.644,   9.671,   8.116,   2.255, 42,  0,   1.193,   0.767,   0.213, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:01:775, 656403692539661,    0.761,    5.000, 3000,   8.911,  10.484,   2.912,   6.759,   8.849,   2.458, 41,  0,   1.074,   0.883,   0.245, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:01:880, 656404084312110,    0.867,   33.000, 4400,  16.006,  12.180,   3.383,  13.895,  10.322,   2.867, 45,  0,   1.236,   1.014,   0.282, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:01:995, 656404505692289,    0.982,   31.000, 4300,  28.377,  15.415,   4.282,  26.180,  13.307,   3.696, 47,  0,   1.541,   1.190,   0.331, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:02:106, 656404916735581,    1.093,   25.000, 4400,  25.955,  18.302,   5.084,  23.888,  15.963,   4.434, 49,  0,   1.397,   1.345,   0.374, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:02:215, 656405321187330,    1.202,   23.000, 4300,  25.701,  21.114,   5.865,  23.629,  18.549,   5.153, 47,  0,   1.359,   1.494,   0.415, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:02:327, 656405735207405,    1.314,   27.000, 4300,  27.088,  24.149,   6.708,  24.963,  21.345,   5.929, 48,  0,   1.435,   1.655,   0.460, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:02:437, 656406140510721,    1.424,   27.000, 4300,  26.583,  27.064,   7.518,  24.328,  24.013,   6.670, 48,  0,   1.403,   1.809,   0.502, 255.000, 255.000,   0.000,   0.000,   0.000
11:12:02:533, 656406495026123,    1.520,   22.000, 4300,  25.601,  29.519,   8.200,  23.471,  26.264,   7.296, 49,  0,   1.340,   1.937,   0.538, 255.000, 255.000,   0.000,   0.000,   0.000
